"Optional: To find available meeting slots in your agenda, the virtual assistant will require access to your calendar. To allow access, you can add a link to your calendar using the web app. You can also remove access at any time. By checking ""✓"", you permit us to have read-only access to your calendar.","In order to use the web application, you provide your personal information such as your name and email address. Optionally, you can also add your phone numbers and office addresses to allow the virtual assistant to schedule in-person meetings or phone calls. By checking ""✓"", you permit us to store this information and use it for scheduling appointments.","Under the General Data Protection Regulation, we need your permission to store your information on our servers. You can export a copy of all your data or permanently delete it at any time from the web application. By selecting an option, you permit us to store your information.",Which type of profession best describes you? This helps us relate scheduling experience with types of work.,Say you had to schedule an appointment with a colleague (if you're a professional) or a professor (if you're a student). How would you do it? Select as many as you like.,"How frequently do you send emails, on average, on working days? This includes both work and personal emails.","How frequently do you check your email, on average, on working days?",What languages do you send emails in? Enter as many as you like.,Do you have email notifications enabled on your phone?,What service do you use for your primary email account?,What do you use email for? Select as many as you like.,"What calendar service do you use, if any? Select as many as you like.","If you had a personal assistant, would you ask them to schedule your appointments for you?","Imagine that you had an AI-powered, virtual personal assistant who could set up appointments for you by finding available times in your calendar and sending emails on your behalf. Would you use this service?","Say that you ask your virtual assistant to schedule an appointment with someone. For the recipient, this email would be indistinguishable from an email sent by a human assistant. Should the virtual assistant inform the recipient that it is not a human, but an AI-powered virtual assistant?","Should recipients be able to unsubscribe from your assistant's emails, i.e., ""opt out"" of talking to an AI, and choose to only communicate with you instead?",Would you like to know whether or not someone has seen an email sent by the assistant?,"If you have enabled email tracking, should end users know that a read receipt has been shared, i.e., a notice at the end of the email, ""The sender has been notified that you've opened this email""?","Apart from scheduling appointments, what else would you like your virtual assistant to do, over email? Enter as many as you like.",What comes to mind when you think about EIVA (how would you describe it to a friend)?,Overall experience of the web app (not the assistant),Design of the web app,Functionality of the web app,Ease of use of the web app,Privacy features available in the web app,"Overall experience of the onboarding flow (where you initially set up your name, timezone, assistant's name, etc.)",Overall experience of the introductory tour,Overall experience of the assistant over email,Customizability of the assistant,Flexibility in understanding natural language,How human-like does the assistant sound over email? 1 is not human-like at all and 5 is indistinguishable from a human.,How much do you trust the assistant to not make mistakes? 1 is the least trust and 5 is the most.,How many emails did you sent with the assistant in CC? You should send at least one email.,Did the assistant understand your email(s) correctly?,Did the assistant respond to your email in a reasonable amount of time?,Did the assistant meet your expectations in terms of scheduling an appointment?,Which of these features of the web app did you use?,"If you were the recipient of an email from EIVA, would you be able to tell whether it's an email from an AI or human assistant, if you didn't know?","If we launch EIVA as a service where users can get their own assistants, will you use it?","Based on the amount of time EIVA saves when setting appointments, how much would you be willing to pay for such a service?",Did you find anything frustrating that you wish was easier or different?,"Is there anything that you wish the assistant could do, in terms of scheduling, that it doesn't currently?",What do you like the most about EIVA?,What do you like the least about EIVA?,"Do you have any additional feedback, suggestions, or comments?","How accurate, practical, and logical were the time recommendations made by the assistant?",Did the assistant recommend the correct location for the appointment?
✓,✓,R,Employed by a company/organization,"Send them an email, Send them a message using a consumer chat service (WhatsApp, Facebook, etc.)",Once every few days,Multiple times per day,English,Y,Google's Gmail or G Suite,Work-related communication (non-scheduling),Apple Calendar,Y,Y,Y,N,Y,Y,"Send email follow ups to my team members about their deliverables, Remind me of a task at a specified time, Automatically respond to frequent emails using ""Templates""","Convenient, easy, accessible, powerful and super cool. ",5,5,5,5,5,5,5,5,5,5,5,5,1,Y,Y,Y,"Setting meeting locations for video chat, in person, or phone calls, Introductory tour of the web app, Viewing individual meeting details",N,Y,5,Not really,N,Convenience and ease ,Nothing,The app is great and extremely easy to use. ,5,Y
✓,✓,M,Self-employed professional or freelancer,"Send them a message using a work chat service (Slack, Microsoft Teams, etc.)",One or more emails per day,Multiple times per day,"English, Dutch",Y,Custom SMTP email,"Scheduling appointments, Connecting with friends and family, Work-related communication (non-scheduling)","Google Calendar, Microsoft Outlook, Self-hosted ICS-based calendar",Y,Y,Y,N,N,Y,"Send email follow ups to my team members about their deliverables, Remind me of a task at a specified time, Automatically respond to frequent emails using ""Templates""",A smart interface to my calendar ,4,4,4,3,5,5,3,4,3,3,4,3,2-5,P,Y,Y,"Updating your assistant's name and signature, Setting your preferred scheduling days and times, Introductory tour of the web app, Viewing individual meeting details, Sending emails in Dutch, not English",N,Y,10,,,,,,3,N
,✓,D,Employed by a company/organization,Send them an email,Once every few days,Multiple times per day,"English, Dutch",Y,Google's Gmail or G Suite,Work-related communication (non-scheduling),Google Calendar,Y,N,Y,Y,N,Y,"Remind me of a task at a specified time, Automatically respond to frequent emails using ""Templates""","interesting personal automation, severely limited at the moment.",4,4,4,4,5,4,1,4,4,2,3,4,2-5,Y,Y,Y,"Setting meeting locations for video chat, in person, or phone calls, Updating your assistant's name and signature, Introductory tour of the web app",Y,N,0,The whole form filling experience was quite frustrating with an Indian guy screaming at me to fill it in the whole time.,No.,"Saving emails back and forth for scheduling, an email or webapp for that is quite handy. To be honest it could also be just a webapp without email support for me.",Pretending to be human.,,3,Y
✓,✓,D,Employed by a company/organization,Go to their office or desk and talk to them,One or more emails per day,Multiple times per day,"English, Dutch",Y,"Microsoft's Outlook, Hotmail, or Live Mail","Sending marketing emails or newsletters, Work-related communication (non-scheduling)","Google Calendar, Other calendar app",Y,Y,Y,Y,N,Y,"Send promotional or marketing emails to potential customers, Automatically respond to frequent emails using ""Templates""",Smart meeting setup,5,5,5,4,5,5,3,5,5,5,3,4,2-5,Y,Y,Y,"Setting meeting locations for video chat, in person, or phone calls, Updating your assistant's name and signature, Introductory tour of the web app, Adding an Unsubscribe link in emails, Viewing individual meeting details, Sending emails in Dutch, not English",Y,Y,10,Dutch grammar can be improved,the ability to create a meeting without first sending an email.,"ease of use , really quick",the avatar given was a bit unprofessional,great idea!,4,Y
✓,✓,D,Self-employed professional or freelancer,Send them an email,One or more emails per day,Multiple times per day,English,Y,"Microsoft's Outlook, Hotmail, or Live Mail",Work-related communication (non-scheduling),Apple Calendar,Y,Y,Y,Y,Y,Y,"Automatically respond to frequent emails using ""Templates""",It’s great to have such an application which will give you this kind of serviceS and helps to save your precious  time. ,5,5,5,5,5,5,5,5,5,5,3,1,1,Y,Y,Y,"Introductory tour of the web app, Viewing individual meeting details",N,Y,10,N,N,It’s advanced feature . East to handle and helps you to save your time and energy which is great 👍 ,I don’t think so there is anything I won’t like about this app,Really like this feature and I think in today’s world we need such kind of smart application which will not only save your time but also helps you to act more efficiently in other work.,5,Y
✓,✓,D,Student,Send them an email,Once every few days,At least once per day,"English, Dutch",Y,Google's Gmail or G Suite,"Scheduling appointments, Work-related communication (non-scheduling)",Google Calendar,Y,N,Y,Y,Y,N,"Send email follow ups to my team members about their deliverables, be able to sort relevant emails from irrelevant emails (relevance according to the master, for example X is doing research for [irrelevant topic] would you be interested in..-> AI knows irrelevant -> AI moves to irrelevant folder). Make summaries of long emails (e.g. longass kick-in information mails), be able to make a quick overview of a to-do list (e.g. registering for study programme)  ",ai secretary ,3,5,4,4,4,4,4,4,4,4,4,4,1,Y,Y,Y,Viewing individual meeting details,Y,N,0,,,,,,4,Y
✓,✓,D,Employed by a company/organization,"Call them on their phone number, Go to their office or desk and talk to them",Once every few days,At least once per day,English,Y,Google's Gmail or G Suite,"Scheduling appointments, Work-related communication (non-scheduling)","Google Calendar, Apple Calendar",Y,Y,N,N,Y,Y,"Send email follow ups to my team members about their deliverables, Send promotional or marketing emails to potential customers, Remind me of a task at a specified time",Easy to use AI Assistant,5,5,5,5,5,5,5,5,5,5,5,5,1,Y,Y,Y,Setting your preferred scheduling days and times,N,Y,10,bigger tabs to click,add free sms/whatsapp to schedule tasks feature,UI,,Good job💯,5,Y
✓,✓,D,Employed by a company/organization,"Send them an email, Send them a message using a consumer chat service (WhatsApp, Facebook, etc.), Go to their office or desk and talk to them",Once every few weeks,At least once per week,English,Y,Google's Gmail or G Suite,"Connecting with friends and family, Work-related communication (non-scheduling)",Google Calendar,Y,Y,Y,Y,Y,Y,Remind me of a task at a specified time,,5,5,5,5,5,5,4,5,5,5,5,4,2-5,Y,Y,Y,"Setting your preferred scheduling days and times, Setting up the Clearbit/Google integrations, Viewing individual meeting details",N,Y,5,Tutorial bubbles should have a skip option to move over to next step.,,,,,4,Y
✓,✓,D,Student,Go to their office or desk and talk to them,Once every few weeks,At least once per week,English,Y,Google's Gmail or G Suite,Work-related communication (non-scheduling),Google Calendar,Y,Y,Y,N,Y,Y,"Automatically respond to frequent emails using ""Templates""",,4,4,4,3,4,3,4,4,5,4,4,3,1,Y,Y,Y,Adding multiple verified emails,Y,Y,5,,,,,,4,Y
✓,✓,D,Employed by a company/organization,"Send them an email, Send them a message using a work chat service (Slack, Microsoft Teams, etc.)",One or more emails per day,At least once per day,English,Y,"Microsoft's Outlook, Hotmail, or Live Mail",Sending marketing emails or newsletters,"Google Calendar, Microsoft Outlook",Y,N,Y,Y,Y,N,Remind me of a task at a specified time,,3,4,3,3,3,3,3,1,2,2,2,2,1,N,Y,Y,"Updating your assistant's name and signature, Introductory tour of the web app, Setting up the Clearbit/Google integrations",Y,N,0,,,,,,2,N
